time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.fix_style,.altitude,.utm_easting,.utm_northing,.Zone,.fields
2020/02/25/17:25:36.291875,452,1582669536,291275024,,42.3371810913,-71.0903320312,5.0,1.25499999523,327796.6875,4689330.5,19,T
2020/02/25/17:25:38.410881,453,1582669538,410190105,,42.3371810913,-71.0903320312,5.0,1.2539999485,327796.6875,4689330.5,19,T
2020/02/25/17:25:40.526149,454,1582669540,525876998,,42.3371810913,-71.0903320312,5.0,1.25199997425,327796.6875,4689330.5,19,T
2020/02/25/17:25:42.645518,455,1582669542,645082950,,42.3371810913,-71.0903320312,5.0,1.25100004673,327796.6875,4689330.5,19,T
2020/02/25/17:25:42.999534,456,1582669542,998862981,,42.3371810913,-71.0903320312,5.0,1.14400005341,327796.8125,4689330.5,19,T
2020/02/25/17:25:45.118701,457,1582669545,118025064,,42.3371810913,-71.0903320312,5.0,1.14300000668,327796.8125,4689330.5,19,T
2020/02/25/17:25:47.239439,458,1582669547,238825082,,42.3371810913,-71.0903320312,5.0,1.13300001621,327796.8125,4689330.5,19,T
2020/02/25/17:25:49.360915,459,1582669549,360321044,,42.3371810913,-71.0903320312,5.0,1.13600003719,327796.8125,4689330.5,19,T
2020/02/25/17:25:51.480376,460,1582669551,479768991,,42.3371810913,-71.0903320312,5.0,1.13699996471,327796.8125,4689330.5,19,T
2020/02/25/17:25:53.602460,461,1582669553,601854085,,42.3371810913,-71.0903320312,5.0,1.13900005817,327796.8125,4689330.5,19,T
2020/02/25/17:25:55.722132,462,1582669555,721512079,,42.3371810913,-71.0903320312,5.0,1.13600003719,327796.8125,4689330.5,19,T
2020/02/25/17:25:57.837994,463,1582669557,837372064,,42.3371810913,-71.0903320312,5.0,1.13300001621,327796.8125,4689330.5,19,T
2020/02/25/17:25:59.952959,464,1582669559,952341079,,42.3371810913,-71.0903320312,5.0,1.13399994373,327796.8125,4689330.5,19,T
2020/02/25/17:26:02.067873,465,1582669562,67218065,,42.3371810913,-71.0903320312,5.0,1.13199996948,327796.8125,4689330.5,19,T
2020/02/25/17:26:04.182637,466,1582669564,181893110,,42.3371810913,-71.0903320312,5.0,1.13900005817,327796.78125,4689330.5,19,T
2020/02/25/17:26:06.298566,467,1582669566,297807931,,42.3371810913,-71.0903320312,5.0,1.13999998569,327796.78125,4689330.5,19,T
2020/02/25/17:26:08.417136,468,1582669568,416538953,,42.3371810913,-71.0903320312,5.0,1.13900005817,327796.78125,4689330.5,19,T
2020/02/25/17:26:10.536802,469,1582669570,536071062,,42.3371810913,-71.0903320312,5.0,1.13800001144,327796.78125,4689330.5,19,T
2020/02/25/17:26:12.655918,470,1582669572,655289888,,42.3371810913,-71.0903320312,5.0,1.13900005817,327796.78125,4689330.5,19,T
2020/02/25/17:26:14.774764,471,1582669574,774235010,,42.3371810913,-71.0903320312,5.0,1.13600003719,327796.78125,4689330.5,19,T
2020/02/25/17:26:16.894058,472,1582669576,893383026,,42.3371810913,-71.0903320312,5.0,1.13600003719,327796.78125,4689330.5,19,T
2020/02/25/17:26:19.014882,473,1582669579,14292955,,42.3371810913,-71.0903320312,5.0,1.13499999046,327796.78125,4689330.5,19,T
2020/02/25/17:26:19.368952,474,1582669579,368366956,,42.337184906,-71.0903320312,5.0,1.04400002956,327796.71875,4689330.5,19,T
2020/02/25/17:26:21.487767,475,1582669581,487169981,,42.337184906,-71.0903320312,5.0,1.04600000381,327796.71875,4689330.5,19,T
2020/02/25/17:26:23.608017,476,1582669583,607460975,,42.337184906,-71.0903320312,5.0,1.05200004578,327796.71875,4689330.5,19,T
2020/02/25/17:26:25.728122,477,1582669585,727525949,,42.337184906,-71.0903320312,5.0,1.04999995232,327796.71875,4689330.5,19,T
2020/02/25/17:26:27.844331,478,1582669587,843714952,,42.337184906,-71.0903320312,5.0,1.04200005531,327796.71875,4689330.5,19,T
2020/02/25/17:26:29.959138,479,1582669589,958484888,,42.337184906,-71.0903320312,5.0,1.04400002956,327796.71875,4689330.5,19,T
2020/02/25/17:26:32.076508,480,1582669592,75882911,,42.337184906,-71.0903320312,5.0,1.04499995708,327796.71875,4689330.5,19,T
2020/02/25/17:26:34.192959,481,1582669594,192301034,,42.337184906,-71.0903320312,5.0,1.0379999876,327796.71875,4689330.5,19,T
2020/02/25/17:26:36.308654,482,1582669596,308013916,,42.337184906,-71.0903320312,5.0,1.03600001335,327796.71875,4689330.5,19,T
2020/02/25/17:26:38.428324,483,1582669598,427757978,,42.337184906,-71.0903320312,5.0,1.03699994087,327796.71875,4689330.5,19,T
2020/02/25/17:26:40.549752,484,1582669600,549140930,,42.337184906,-71.0903320312,5.0,1.03199994564,327796.71875,4689330.5,19,T
2020/02/25/17:26:42.670166,485,1582669602,669557094,,42.337184906,-71.0903320312,5.0,1.02799999714,327796.71875,4689330.5,19,T
2020/02/25/17:26:44.791135,486,1582669604,790525913,,42.337184906,-71.0903320312,5.0,1.03299999237,327796.71875,4689330.5,19,T
2020/02/25/17:26:46.912408,487,1582669606,911827087,,42.337184906,-71.0903320312,5.0,1.03600001335,327796.71875,4689330.5,19,T
2020/02/25/17:26:49.030162,488,1582669609,29444932,,42.337184906,-71.0903320312,5.0,1.0340000391,327796.71875,4689330.5,19,T
2020/02/25/17:26:49.383509,489,1582669609,382961034,,42.337184906,-71.0903396606,5.0,1.01400005817,327796.625,4689330.5,19,T
2020/02/25/17:26:51.501146,490,1582669611,500811100,,42.337184906,-71.0903396606,5.0,1.01600003242,327796.625,4689330.5,19,T
2020/02/25/17:26:53.623242,491,1582669613,622652053,,42.337184906,-71.0903396606,5.0,1.00600004196,327796.625,4689330.5,19,T
2020/02/25/17:26:55.741003,492,1582669615,740351915,,42.337184906,-71.0903396606,5.0,1.01300001144,327796.625,4689330.5,19,T
2020/02/25/17:26:57.860636,493,1582669617,860048055,,42.337184906,-71.0903396606,5.0,1.01499998569,327796.625,4689330.5,19,T
2020/02/25/17:26:59.979795,494,1582669619,979151010,,42.337184906,-71.0903396606,5.0,1.00999999046,327796.625,4689330.5,19,T
2020/02/25/17:27:02.096332,495,1582669622,95658063,,42.337184906,-71.0903396606,5.0,1.00800001621,327796.625,4689330.5,19,T
2020/02/25/17:27:04.211140,496,1582669624,210469961,,42.337184906,-71.0903396606,5.0,1.01199996471,327796.625,4689330.5,19,T
2020/02/25/17:27:06.326421,497,1582669626,325717926,,42.337184906,-71.0903396606,5.0,1.01499998569,327796.625,4689330.5,19,T
2020/02/25/17:27:08.441536,498,1582669628,441131114,,42.337184906,-71.0903396606,5.0,1.01499998569,327796.625,4689330.5,19,T
2020/02/25/17:27:10.556957,499,1582669630,556340932,,42.337184906,-71.0903396606,5.0,1.01900005341,327796.625,4689330.5,19,T
2020/02/25/17:27:12.673379,500,1582669632,672781944,,42.337184906,-71.0903396606,5.0,1.01800000668,327796.625,4689330.5,19,T
2020/02/25/17:27:14.792411,501,1582669634,791771888,,42.337184906,-71.0903396606,5.0,1.01300001144,327796.625,4689330.5,19,T
2020/02/25/17:27:16.912870,502,1582669636,912295103,,42.337184906,-71.0903396606,5.0,1.01300001144,327796.625,4689330.5,19,T
2020/02/25/17:27:19.032517,503,1582669639,31982898,,42.337184906,-71.0903396606,5.0,1.01699995995,327796.625,4689330.5,19,T
2020/02/25/17:27:21.153189,504,1582669641,152585983,,42.337184906,-71.0903396606,5.0,1.01499998569,327796.625,4689330.5,19,T
2020/02/25/17:27:23.272084,505,1582669643,271409988,,42.337184906,-71.0903396606,5.0,1.01300001144,327796.625,4689330.5,19,T
2020/02/25/17:27:25.041272,506,1582669645,40606021,,42.337184906,-71.0903320312,4.0,0.96899998188,327796.90625,4689330.5,19,T
2020/02/25/17:27:27.161503,507,1582669647,160917043,,42.337184906,-71.0903320312,4.0,0.966000020504,327796.90625,4689330.5,19,T
2020/02/25/17:27:29.277874,508,1582669649,277240037,,42.337184906,-71.0903320312,4.0,0.962000012398,327796.90625,4689330.5,19,T
2020/02/25/17:27:31.399452,509,1582669651,398830890,,42.337184906,-71.0903320312,4.0,0.958999991417,327796.90625,4689330.5,19,T
2020/02/25/17:27:33.518865,510,1582669653,518318891,,42.337184906,-71.0903320312,4.0,0.962000012398,327796.90625,4689330.5,19,T
2020/02/25/17:27:35.637898,511,1582669655,637352943,,42.337184906,-71.0903320312,4.0,0.967000007629,327796.90625,4689330.5,19,T
2020/02/25/17:27:37.581594,512,1582669657,581034898,,42.337184906,-71.0903320312,4.0,0.959999978542,327796.90625,4689330.5,19,T
2020/02/25/17:27:39.697978,513,1582669659,697386026,,42.337184906,-71.0903320312,4.0,0.957000017166,327796.90625,4689330.5,19,T
2020/02/25/17:27:41.813172,514,1582669661,812503099,,42.337184906,-71.0903320312,4.0,0.957000017166,327796.90625,4689330.5,19,T
2020/02/25/17:27:43.928411,515,1582669663,927987098,,42.337184906,-71.0903320312,4.0,0.97000002861,327796.90625,4689330.5,19,T
2020/02/25/17:27:46.045272,516,1582669666,44605016,,42.337184906,-71.0903320312,4.0,0.964999973774,327796.90625,4689330.5,19,T
2020/02/25/17:27:48.161237,517,1582669668,160582065,,42.337184906,-71.0903320312,4.0,0.971000015736,327796.90625,4689330.5,19,T
2020/02/25/17:27:50.278693,518,1582669670,277968883,,42.337184906,-71.0903320312,4.0,0.976999998093,327796.90625,4689330.5,19,T
2020/02/25/17:27:52.400226,519,1582669672,399463891,,42.337184906,-71.0903320312,4.0,0.967999994755,327796.90625,4689330.5,19,T
2020/02/25/17:27:54.519159,520,1582669674,518857955,,42.337184906,-71.0903320312,4.0,0.977999985218,327796.90625,4689330.5,19,T
2020/02/25/17:27:56.639499,521,1582669676,638886928,,42.337184906,-71.0903320312,4.0,0.976999998093,327796.90625,4689330.5,19,T
2020/02/25/17:27:58.758893,522,1582669678,758296012,,42.337184906,-71.0903320312,4.0,0.972999989986,327796.90625,4689330.5,19,T
2020/02/25/17:28:00.877530,523,1582669680,877007007,,42.337184906,-71.0903320312,4.0,0.98299998045,327796.90625,4689330.5,19,T
2020/02/25/17:28:02.645977,524,1582669682,645337104,,42.337184906,-71.0903320312,4.0,0.989000022411,327796.90625,4689330.5,19,T
2020/02/25/17:28:04.588567,525,1582669684,587976932,,42.337184906,-71.0903320312,4.0,0.987999975681,327796.90625,4689330.5,19,T
2020/02/25/17:28:06.531713,526,1582669686,531270980,,42.337184906,-71.0903320312,4.0,0.98299998045,327796.90625,4689330.5,19,T
2020/02/25/17:28:08.473859,527,1582669688,473361015,,42.337184906,-71.0903320312,4.0,0.98299998045,327796.90625,4689330.5,19,T
2020/02/25/17:28:10.413173,528,1582669690,412828922,,42.337184906,-71.0903320312,4.0,0.986000001431,327796.90625,4689330.5,19,T
2020/02/25/17:28:12.354984,529,1582669692,354345083,,42.337184906,-71.0903320312,4.0,0.981000006199,327796.90625,4689330.5,19,T
2020/02/25/17:28:14.294759,530,1582669694,293999910,,42.337184906,-71.0903320312,4.0,0.976000010967,327796.90625,4689330.5,19,T
2020/02/25/17:28:16.234060,531,1582669696,233422040,,42.337184906,-71.0903320312,4.0,0.972999989986,327796.90625,4689330.5,19,T
