time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.fix_style,.altitude,.utm_easting,.utm_northing,.Zone,.fields
2020/02/26/14:30:11.141697,119,1582745411,140243053,,42.3416786194,-71.0951843262,5.0,-1.77100002766,327409.34375,4689839.5,19,T
2020/02/26/14:30:12.381390,120,1582745412,378984928,,42.3416748047,-71.0951843262,5.0,-1.78199994564,327409.46875,4689839.0,19,T
2020/02/26/14:30:13.621956,121,1582745413,616864919,,42.3416748047,-71.0951843262,5.0,-1.77600002289,327409.625,4689839.0,19,T
2020/02/26/14:30:14.853039,122,1582745414,852520942,,42.34167099,-71.0951843262,5.0,-1.75,327409.75,4689838.5,19,T
2020/02/26/14:30:16.089509,123,1582745416,88248014,,42.3416671753,-71.0951766968,5.0,-1.73800003529,327409.90625,4689838.5,19,T
2020/02/26/14:30:17.332597,124,1582745417,332066059,,42.3416671753,-71.0951766968,5.0,-1.70799994469,327410.0625,4689838.0,19,T
2020/02/26/14:30:18.577390,125,1582745418,576690912,,42.3416633606,-71.0951766968,5.0,-1.68900001049,327410.21875,4689838.0,19,T
2020/02/26/14:30:19.826847,126,1582745419,818784952,,42.3416595459,-71.0951766968,5.0,-1.6970000267,327410.375,4689837.5,19,T
2020/02/26/14:30:21.065016,127,1582745421,63920974,,42.3416595459,-71.0951690674,5.0,-1.68099999428,327410.53125,4689837.5,19,T
2020/02/26/14:30:22.655382,128,1582745422,654314994,,42.3416557312,-71.0951690674,5.0,-1.72699999809,327410.71875,4689837.0,19,T
2020/02/26/14:30:24.250480,129,1582745424,246391057,,42.3416557312,-71.0951690674,5.0,-1.68400001526,327410.875,4689837.0,19,T
2020/02/26/14:30:25.841303,130,1582745425,840883016,,42.3416519165,-71.095161438,5.0,-1.69799995422,327411.0625,4689836.5,19,T
2020/02/26/14:30:27.436956,131,1582745427,435905933,,42.3416481018,-71.095161438,5.0,-1.70700001717,327411.21875,4689836.5,19,T
2020/02/26/14:30:27.794117,132,1582745427,790518045,,42.3413696289,-71.0947799683,5.0,-0.287000000477,327442.03125,4689804.5,19,T
2020/02/26/14:30:29.381528,133,1582745429,380667924,,42.3413696289,-71.0947799683,5.0,-0.240999996662,327442.28125,4689804.0,19,T
2020/02/26/14:30:30.980121,134,1582745430,978235006,,42.3413658142,-71.0947723389,5.0,-0.241999998689,327442.53125,4689804.0,19,T
2020/02/26/14:30:32.581622,135,1582745432,577888011,,42.3413658142,-71.0947723389,5.0,-0.219999998808,327442.78125,4689804.0,19,T
2020/02/26/14:30:34.527183,136,1582745434,525116920,,42.3413619995,-71.0947647095,5.0,-0.165000006557,327443.03125,4689803.5,19,T
2020/02/26/14:30:36.477455,137,1582745436,476973056,,42.3413619995,-71.0947647095,5.0,-0.189999997616,327443.28125,4689803.5,19,T
2020/02/26/14:30:38.425909,138,1582745438,424761056,,42.3413619995,-71.0947570801,5.0,-0.170000001788,327443.5625,4689803.5,19,T
2020/02/26/14:30:40.380475,139,1582745440,378386020,,42.3413581848,-71.0947570801,5.0,-0.157000005245,327443.84375,4689803.5,19,T
2020/02/26/14:30:42.331364,140,1582745442,324528932,,42.3413581848,-71.0947570801,5.0,-0.167999997735,327444.125,4689803.0,19,T
2020/02/26/14:30:44.273098,141,1582745444,271202087,,42.3413581848,-71.0947494507,5.0,-0.134000003338,327444.375,4689803.0,19,T
2020/02/26/14:30:46.216651,142,1582745446,215655088,,42.3413581848,-71.0947494507,5.0,-0.187999993563,327444.65625,4689803.0,19,T
2020/02/26/14:30:47.994443,143,1582745447,988111019,,42.3413543701,-71.0947418213,5.0,-0.224000006914,327444.90625,4689803.0,19,T
2020/02/26/14:30:49.757352,144,1582745449,756676912,,42.3413543701,-71.0947418213,5.0,-0.122000001371,327445.28125,4689802.5,19,T
2020/02/26/14:30:51.696602,145,1582745451,696171045,,42.3413543701,-71.0947341919,5.0,-0.11400000006,327445.5625,4689802.5,19,T
2020/02/26/14:30:53.642859,146,1582745453,641602039,,42.3413505554,-71.0947341919,5.0,-0.0649999976158,327445.84375,4689802.5,19,T
2020/02/26/14:30:55.588893,147,1582745455,586870908,,42.3413505554,-71.0947265625,5.0,-0.119000002742,327446.0625,4689802.0,19,T
2020/02/26/14:30:57.356961,148,1582745457,356661081,,42.3413505554,-71.0947265625,5.0,-0.0619999989867,327446.34375,4689802.0,19,T
2020/02/26/14:30:59.303837,149,1582745459,302613973,,42.3413467407,-71.0947265625,5.0,-0.0540000014007,327446.59375,4689802.0,19,T
2020/02/26/14:31:00.906751,150,1582745460,903078079,,42.3413467407,-71.0947189331,5.0,-0.019999999553,327446.84375,4689801.5,19,T
2020/02/26/14:31:02.505228,151,1582745462,504034996,,42.3413467407,-71.0947189331,5.0,0.0209999997169,327447.125,4689801.5,19,T
2020/02/26/14:31:04.103015,152,1582745464,100775003,,42.341342926,-71.0947113037,5.0,0.0359999984503,327447.375,4689801.5,19,T
2020/02/26/14:31:05.700463,153,1582745465,699229001,,42.341342926,-71.0947113037,5.0,0.0590000003576,327447.65625,4689801.5,19,T
2020/02/26/14:31:07.292983,154,1582745467,291326999,,42.341342926,-71.0947036743,5.0,0.101000003517,327447.9375,4689801.0,19,T
2020/02/26/14:31:08.888764,155,1582745468,888458967,,42.341342926,-71.0947036743,5.0,0.104999996722,327448.1875,4689801.0,19,T
2020/02/26/14:31:10.486657,156,1582745470,485378980,,42.3412055969,-71.0942001343,5.0,0.279000014067,327489.34375,4689785.0,19,T
2020/02/26/14:31:11.907580,157,1582745471,904877901,,42.3412094116,-71.0942001343,5.0,0.104000002146,327489.0625,4689785.5,19,T
2020/02/26/14:31:14.033516,158,1582745474,29340982,,42.3412094116,-71.0942001343,5.0,0.485000014305,327489.3125,4689785.5,19,T
2020/02/26/14:31:15.446214,159,1582745475,445593118,,42.3412094116,-71.0942001343,5.0,0.495999991894,327489.625,4689785.5,19,T
2020/02/26/14:31:16.857866,160,1582745476,857002973,,42.3412094116,-71.0941925049,1.0,0.238000005484,327490.0625,4689785.5,19,T
2020/02/26/14:31:29.561168,161,1582745489,560040950,,42.3418998718,-71.0942001343,1.0,78.71900177,327491.375,4689862.0,19,T
2020/02/26/14:31:30.974591,162,1582745490,974144935,,42.3419113159,-71.0942001343,1.0,80.3880004883,327491.1875,4689863.5,19,T
2020/02/26/14:31:41.561228,163,1582745501,559525966,,42.3415756226,-71.0942459106,1.0,6.21799993515,327486.65625,4689826.0,19,T
2020/02/26/14:31:42.623784,164,1582745502,622622966,,42.3415756226,-71.0942382812,1.0,6.27699995041,327487.21875,4689826.5,19,T
2020/02/26/14:31:42.980607,165,1582745502,980156898,,42.3417205811,-71.0941848755,5.0,0.32800000906,327492.25,4689842.0,19,T
2020/02/26/14:31:45.460196,166,1582745505,459131002,,42.3417282104,-71.0941772461,5.0,0.130999997258,327492.375,4689843.0,19,T
2020/02/26/14:31:50.050706,167,1582745510,50333023,,42.3417816162,-71.0941848755,1.0,-0.679000020027,327492.25,4689849.0,19,T
2020/02/26/14:31:51.824441,168,1582745511,823429107,,42.3417739868,-71.0941848755,5.0,-4.20300006866,327492.21875,4689848.0,19,T
2020/02/26/14:31:53.591045,169,1582745513,590660095,,42.3418045044,-71.0941848755,5.0,-0.115000002086,327492.0,4689851.5,19,T
2020/02/26/14:31:56.066038,170,1582745516,65491914,,42.3418197632,-71.0941925049,5.0,0.474000006914,327491.78125,4689853.5,19,T
2020/02/26/14:31:58.547542,171,1582745518,546451091,,42.3418235779,-71.0941925049,5.0,-0.0430000014603,327491.75,4689853.5,19,T
2020/02/26/14:32:00.315216,172,1582745520,314811944,,42.3418235779,-71.0941925049,5.0,-0.592999994755,327491.75,4689853.5,19,T
2020/02/26/14:32:03.499695,173,1582745523,495268106,,42.3418426514,-71.0941925049,1.0,-2.06599998474,327491.71875,4689855.5,19,T
2020/02/26/14:32:05.270144,174,1582745525,269711017,,42.3418540955,-71.0941925049,5.0,-0.754000008106,327491.5625,4689857.0,19,T
2020/02/26/14:32:09.511137,175,1582745529,506584882,,42.3418579102,-71.0942230225,1.0,-5.04899978638,327488.96875,4689857.5,19,T
2020/02/26/14:32:10.926333,176,1582745530,925836086,,42.3418655396,-71.0942306519,1.0,-3.58999991417,327488.40625,4689858.5,19,T
